review,rating
1-more flexible2-bass is very high3-sound clarity is good 4-battery back up to 6 to 8 hour's 5-main thing is fastest charging system is available in that. Only 20 min charge and get long up to 4 hours back up 6-killing look awesome 7-for gaming that product does not support 100% if you want for gaming then I'll recommend you please don't buy but you want for only music then this product is very well for you.. 8-no more wireless headphones are comparing with that headphones at this pric...,5
Super sound and good looking I like that prize,5
"Very much satisfied with the device at this price point being from an awesome brand. Design wise , I liked it more than rockerz 255 model.Bought the model blindly on its very first day with zero reviews and it was a wonderful choice I must say.Bluetooth 5.0 enables us to connect devices simultaneously. And vibration motor for calls , its too good.",5
"Nice headphone, bass was very good and sound is clear. I am purchase for calling purpose and best choice even riding on bike wear in one ear and opposite end voice was clear and no complaint for calling.. Battery backup 1 full day",5
Sound quality super battery backup super quality super this price range super and this value for money,5
"Wowwww it's amezing bluetooth nice look, nice price, nice battery back up, I love always flipkart product's and Flipkart replacement and refund policy, you can return or refund after received a demegzed product",5
Awesome colour! Amazing experience .. but only the charging data cable is not of good quality and adjustable clip is not so tight.,4
"For the first time, I am posting a review, just because the product compelled me to do so. Icouldn't find a single aspect missed or mis-handled by Boat. Well this is called, quality engineering. Well, some people say Boat enhances bass and thus compensates with clarity, but I would give my neutral and true feedbackBass : 10/10Clarity : 9/10Comfort ease n looks : 15/10Features :10/10The best buy from flipkart yet..",5
First of all the Delivery boy is a good guy. Nice receive and responce. Product is super. Packing also good.  I fell Red color is not sufficient for me. Otherwise totally awesome product. Delivery is too long. Iam taking one week after booking. Thankyou flipcart and boat 235v2 also.,4
This headphone is good but not that much as i expected*Pros- 1Good battery backup             2Good sound quality*Cons-1 There's a voice gap between video activity and voice. Voice comes after video activity not both comes together. It is ok when you watch movies and music but if you play pubg with it you will clearly feel the big gap it matters a lot for me. It is not working after 4 month very much disappointedOverall not goodDon't buy please,1
It's a very good product ... I'm so happy with this BCz its bass quality & sounds is too good & batry back up Also super,5
Nice build quality.. bass is best it self.. vibrate at call is nice. .. nice support from flipkart and delivery partner,4
"After using for about 8 days, right side of the earphone is not working properly and the volume on right side is  very low. I didn't expect this.",1
Mic is not proper recipient persons can't hear proper sound ( every time for call I heard from front I can't hear you so I have to again talk to through Mobile phone no Option useless of wirless meaning)  and sound quality is so loud. Like local headphones. not comfortable to wear for more than1 hrs of uses.tere is no meanings to get replaced again you get same product therefore this is wast of money.,1
"Wow flip cart super fast service like  express speed delivery I order 11 am delivery At 5pm I am very happy,  boAt Bluetooth headset is very very excellent product fast charging super totally user friendly go for it",5
Very great product at this price I will assure that this is a value for money product and the bass and sound quality was awesome the build quality was great 👌 and this product has a mat finish which gives a class and flagship look this is the best and the fast charging technology was working very well and the ear are fixing suitable in our ear the music quality was great,5
It's very good and its bass is very high This bluetooth is very good best value or money but battery is too tiny.....Battery backup is not long time but it's realy fast charging support so little battery is comfortable with fast charging,4
"Good product. Never used bluetooth headset before. Now I am happy to see ease in my work. As I noticed boat marketing their products aggressively in market in recent days. About product it's like awesome having better build quality, bass is good, battery backup is fine and vibration though it vibrates my neck when ever I gets call but still feature is must needed when u are driving. Wanted to give 5star but there is a sentence that "" Nothing is perfect in this imperfect world"" 😄😄😉",5
"This review is after 1 month of use .Pro:- 1.Battery backup is genuinely too good, runs almost 1.5 -2 days on a single charge.. and 8hrs on continuous playback.2. Charge very fast,,, 40% just in 15-20 minutes3. Sound is crisp,clear and decent, not too loud.  4. Build quality is awsome nd stylish as well.5.connectivity is super fast nd good with phones.6. Last but not the least,,, its really comfort able nd i didn't feel any discomfort or pain even after continous use of 5 hrs which i ...",5
I like It Boat HP Sound Quality is bestm best And Bass Quality is to good And New V2 product is to good & Fast charging is besttt to save charging  timeing....,5
"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons Pros-✓Sounds Quality is good✓ Bass is good enough✓ Look is okay as per this price range ✓ All essential controls are provided✓ Backup is decentConsxx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver...",3
Great product.. I loved it.. As I was using level U.. This product is much more better than that.. Though battery life is just like 8hrs and bass like goosebumps... But when increased bass earplugs starts raddling.. Vibrate feature is awesome..,4
"Awesome product happy to have one.Good sound quality in medium volume, with equalizer app could complete the high bass sound. Battery last long 20 min of charge to enjoy whole day.Very light weight, Easy to carry,",4
It's a very good product... I'm so happy with this Bcz it's bass quality & sounds is too good & battery backup also superb,4
"Amazing product   Sound quality was awesome, it has deep bass which I really wanted, I am really satisfied and battery backup was also nice and it also had fast charging facilities",5
I think it is the best product in this price segment I buy this product after seeing it's sell figure and my decision got right u must buy this product I love it's sound quality but the build quality must be improved and they must give charging adaptor out of the box,4
